;feature_function;algorithm;c1;c2;max_iterations;min_freq;possible_states;possible_transitions;accuracy;precision;recall;f1_score
0;observation-level;l2sgd;0.0;0.1;550;1;True;True;0.5893;0.6561;0.9245;0.765
1;observation-level;lbfgs;0.1;0.0;200;1;True;True;0.5714;0.625;0.9186;0.7423
2;observation-level;l2sgd;0.0;0.1;550;0;True;True;0.5357;0.7856;0.8243;0.802
3;observation-level;lbfgs;0.1;0.0;300;1;True;True;0.5714;0.625;0.9186;0.7423
4;observation-level;l2sgd;0.0;0.1;1100;0;True;False;0.5893;0.6944;0.9233;0.7907
5;observation-level;lbfgs;0.1;0.0;300;0;False;True;0.6071;0.7164;0.8715;0.7781
6;observation-level;lbfgs;0.1;0.0;250;1;True;True;0.5714;0.625;0.9186;0.7423
7;observation-level;l2sgd;0.0;0.1;700;0;True;False;0.2143;0.9186;0.1745;0.2597
8;observation-level;lbfgs;0.1;0.0;150;0;False;True;0.6071;0.7164;0.8715;0.7781
9;observation-level;lbfgs;0.1;0.0;250;0;False;True;0.6071;0.7164;0.8715;0.7781
10;observation-level;lbfgs;0.1;0.0;350;1;True;True;0.5714;0.625;0.9186;0.7423
11;observation-level;l2sgd;0.0;0.1;200;0;True;True;0.5714;0.7241;0.9163;0.8075
12;observation-level;l2sgd;0.0;0.1;200;0;True;True;0.2321;0.9194;0.2347;0.3542
13;observation-level;lbfgs;0.1;0.0;200;0;False;True;0.6071;0.7164;0.8715;0.7781
14;observation-level;l2sgd;0.0;0.1;900;0;True;True;0.5714;0.6513;0.9198;0.7601
15;observation-level;l2sgd;0.0;0.1;500;1;True;False;0.5893;0.5845;0.9245;0.7145
16;observation-level;l2sgd;0.0;0.1;1400;0;False;True;0.5357;0.7852;0.8243;0.8014
17;observation-level;l2sgd;0.0;0.1;1500;0;False;False;0.5893;0.6561;0.9245;0.765
18;observation-level;lbfgs;0.5;0.0;50;0;False;True;0.5893;0.6944;0.9233;0.7907
19;observation-level;l2sgd;0.0;0.1;450;0;True;True;0.2143;0.9191;0.1745;0.2606
20;observation-level;l2sgd;0.0;0.1;1650;0;True;False;0.2143;0.9191;0.1745;0.2606
21;observation-level;l2sgd;0.0;0.1;650;0;True;False;0.2857;0.9194;0.3337;0.4758
22;observation-level;l2sgd;0.0;0.1;400;0;False;True;0.5357;0.7854;0.8243;0.8017
23;observation-level;lbfgs;0.1;0.0;100;0;True;False;0.6429;0.7847;0.8491;0.8087
