;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
0;5;64;sgd;0.001;150;16;0.36;0.1296;0.36;0.1906
1;1;64;sgd;0.01;150;16;0.36;0.1296;0.36;0.1906
2;1;48;sgd;0.005;200;16;0.36;0.1296;0.36;0.1906
3;2;48;sgd;0.01;150;16;0.36;0.1296;0.36;0.1906
4;2;32;sgd;0.01;50;16;0.36;0.1296;0.36;0.1906
5;1;48;sgd;0.05;200;16;0.2;0.0947;0.2;0.1286
6;2;80;sgd;0.005;200;16;0.36;0.1296;0.36;0.1906
7;2;48;sgd;0.05;200;16;0.24;0.1259;0.24;0.1651
8;1;64;sgd;0.005;200;16;0.36;0.1296;0.36;0.1906
9;1;32;sgd;0.01;50;16;0.36;0.1296;0.36;0.1906
10;1;32;sgd;0.05;50;16;0.36;0.1296;0.36;0.1906
11;1;64;sgd;0.005;150;16;0.36;0.1296;0.36;0.1906
12;1;32;sgd;0.01;200;16;0.36;0.1296;0.36;0.1906
13;1;32;sgd;0.01;150;16;0.36;0.1296;0.36;0.1906
14;3;64;sgd;0.01;100;16;0.36;0.1296;0.36;0.1906
15;1;64;sgd;0.05;200;16;0.2;0.0947;0.2;0.1286
16;2;32;sgd;0.01;100;16;0.36;0.1296;0.36;0.1906
17;1;64;sgd;0.001;200;16;0.36;0.1296;0.36;0.1906
18;1;32;sgd;0.01;100;16;0.36;0.1296;0.36;0.1906
19;1;80;sgd;0.001;150;16;0.36;0.1296;0.36;0.1906
20;2;32;sgd;0.05;200;16;0.4;0.175;0.4;0.2364
21;1;80;sgd;0.05;200;16;0.2;0.0947;0.2;0.1286
22;1;64;sgd;0.01;200;16;0.36;0.1296;0.36;0.1906
23;2;48;sgd;0.005;150;16;0.36;0.1296;0.36;0.1906
